,股票代码,股票简称,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业,市值,股息率,日期
177,2128,电投能源,14.59,0.76,6.9,7.88,1.27,0.08,1.08,3.68,煤炭行业,2803575.7263,2.7416,2022-05-17
186,2202,金风科技,11.77,2.17,13.72,14.39,1.41,0.93,0.99,10.31,风电设备,4972904.6205,2.124,2022-05-17
189,2212,天融信,9.27,0.43,42.17,47.79,1.18,-,3.17,99.77,软件开发,1099248.7873,0.4177,2022-05-17
190,2221,东华能源,7.62,0.66,14.38,11.02,1.15,-,0.48,30.53,石油行业,1256555.3919,2.8975,2022-05-17
194,2233,塔牌集团,8.74,-0.79,6.78,5.67,0.87,2.09,1.4,5.79,水泥建材,1042048.364,4.9078,2022-05-17
195,2237,恒邦股份,9.17,0.44,23.88,23.15,1.32,1.08,0.25,66.31,贵金属,1052729.2048,0.8179,2022-05-17
196,2244,滨江集团,8.32,-2.12,9.06,8.55,1.25,0.28,0.7,-2.58,房地产开发,2588721.3165,2.7163,2022-05-17
197,2252,上海莱士,5.54,-1.95,26.36,28.85,1.42,-,7.3,26.27,生物制品,3734396.5005,0.4513,2022-05-17
209,2314,南山控股,4.69,-5.63,13.61,13.01,1.35,-,1.12,5.85,房地产开发,1269949.9986,2.1322,2022-05-17
218,2373,千方科技,8.44,-0.35,40.69,18.43,1.09,-,1.36,22.26,互联网服务,1334258.3017,0.8255,2022-05-17
230,2423,中粮资本,6.49,0.31,18.06,10.9,0.83,0.49,0.78,1.61,多元金融,1495364.5182,0.6934,2022-05-17
246,2500,山西证券,5.03,-0.2,24.61,22.47,1.04,2.84,4.58,7.64,证券,1805655.0881,2.1869,2022-05-17
253,2532,天山铝业,6.8,-0.15,7.68,8.25,1.41,0.08,1.01,6.85,有色金属,3163282.0822,5.8824,2022-05-17
262,2563,森马服饰,5.54,-1.77,11.11,10.04,1.26,0.14,0.97,11.27,纺织服装,1492525.9486,9.0311,2022-05-17
282,2673,西部证券,6.09,0.16,24.05,19.3,1.0,0.77,4.19,-2.35,证券,2721975.2583,1.2479,2022-05-17
289,2736,国信证券,9.1,-0.11,9.51,8.65,1.13,0.16,3.88,-5.22,证券,8747310.7331,2.5275,2022-05-17
291,2745,木林森,8.89,1.25,12.63,11.38,0.98,0.02,0.73,4.43,光学光电子,1319423.9287,1.4173,2022-05-17
302,2839,张家港行,4.96,-0.2,7.67,8.25,0.87,0.23,2.27,-15.74,银行,1076108.6157,2.6881,2022-05-17
310,2926,华西证券,6.96,0.29,16.01,11.19,0.83,-,3.97,7.35,证券,1827000.0,1.5948,2022-05-17
312,2939,长城证券,7.88,-0.13,17.68,13.85,1.25,0.97,3.51,-30.25,证券,2445483.4166,1.269,2022-05-17
313,2948,青岛银行,3.57,-0.28,6.78,7.11,0.7,0.29,1.89,1.43,银行,2077866.6365,3.9249,2022-05-17
315,2958,青农商行,3.22,-0.92,5.78,5.84,0.61,1.70,1.77,2.54,银行,1788904.5875,4.6584,2022-05-17
316,2966,苏州银行,6.16,0.49,6.87,7.27,0.68,0.31,2.06,-2.65,银行,2258702.1201,3.5419,2022-05-17
324,3816,中国广核,2.78,-0.36,13.75,14.42,1.35,8.00,1.74,4.47,电力行业,14038613.8858,2.8777,2022-05-17
325,600000,浦发银行,8.02,0.63,4.38,4.44,0.41,-,1.23,-0.59,银行,23540441.8325,5.985,2022-05-17
326,600006,东风汽车,5.19,4.43,47.77,27.92,1.28,-,0.68,4.3,汽车整车,1038000.0,1.6012,2022-05-17
327,600008,首创环保,2.95,-0.34,9.45,9.47,1.26,0.18,0.96,8.91,公用事业,2165474.2497,2.3729,2022-05-17
328,600012,皖通高速,7.27,-0.27,7.84,7.96,1.02,0.12,3.07,5.73,铁路公路,1205809.47,3.1637,2022-05-17
329,600015,华夏银行,5.31,0.19,3.43,3.47,0.34,0.32,0.85,0.63,银行,8170615.935,5.6685,2022-05-17
330,600016,民生银行,3.73,0.0,4.9,4.75,0.33,22.03,1.01,0.69,银行,16330842.1012,5.7105,2022-05-17
