,序号,股票代码,股票简称,相关,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
20,71,338,潍柴动力,详细  数据  股吧,11.3,4.53,14.18,10.66,1.36,29.78,0.55,7.93,汽车零部件
21,72,400,许继电气,详细  数据  股吧,17.16,2.14,23.31,23.89,1.82,21.46,1.37,18.19,电网设备
22,73,401,冀东水泥,详细  数据  股吧,10.58,-1.31,10.70,10.01,0.9,-,0.78,5.52,水泥建材
23,74,402,金融街,详细  数据  股吧,6.31,-2.02,9.34,11.48,0.5,-,0.69,-6.07,房地产开发
24,75,403,派林生物,详细  数据  股吧,18.96,-1.86,31.57,35.54,2.16,0.28,6.35,30.27,生物制品
25,76,404,长虹华意,详细  数据  股吧,4.44,-0.89,14.63,16.66,0.89,0.18,0.23,2.35,家电行业
26,77,407,胜利股份,详细  数据  股吧,3.58,0.28,-,28.63,1.19,25.02,0.7,13.22,燃气
27,78,408,藏格矿业,详细  数据  股吧,28.55,10.02,22.69,31.61,4.36,0.03,10.07,17.19,化肥行业
28,79,409,云鼎科技,详细  数据  股吧,5.07,-0.2,175.25,147.20,5.11,-,4.34,-2736.86,综合行业
29,80,410,*ST沈机,详细  数据  股吧,4.3,2.38,-,-,-15.15,0.28,4.11,-25.84,通用设备
30,81,411,英特集团,详细  数据  股吧,13.68,0.0,20.07,20.82,1.9,3.01,0.13,11.59,医药商业
31,82,413,东旭光电,详细  数据  股吧,1.67,-0.6,-,-,0.39,-,1.63,8.80,光学光电子
32,83,415,渤海租赁,详细  数据  股吧,2.15,-1.83,-,-,0.53,-,0.48,0.74,多元金融
33,84,416,民生控股,详细  数据  股吧,3.66,-3.17,240.58,143.04,2.18,-,39.5,-1.63万,多元金融
34,85,417,合肥百货,详细  数据  股吧,4.79,-2.64,22.76,20.66,0.88,0.66,0.59,3.69,商业百货
35,86,419,通程控股,详细  数据  股吧,5.1,-0.58,16.50,20.02,0.91,-,1.21,6.47,商业百货
36,87,420,吉林化纤,详细  数据  股吧,3.39,0.0,-,-,2.42,0.81,2.13,39.52,化纤行业
37,88,421,南京公用,详细  数据  股吧,4.61,-1.71,38.54,27.03,0.94,1.23,0.68,7.85,燃气
38,89,422,湖北宜化,详细  数据  股吧,20.23,4.49,9.10,11.58,5.97,0.01,0.89,3.76,化学原料
39,90,423,东阿阿胶,详细  数据  股吧,30.76,-1.41,40.77,45.68,1.99,0.04,5.02,9.39,中药
40,91,425,徐工机械,详细  数据  股吧,5.09,0.2,7.53,7.10,1.06,0.16,0.5,5.96,工程机械
41,92,426,兴业矿业,详细  数据  股吧,6.06,0.0,56.14,45.17,2.05,0.20,5.74,14.05,有色金属
42,93,428,华天酒店,详细  数据  股吧,3.7,1.37,24.49,44.76,1.81,-,6.58,79.92,旅游酒店
43,94,429,粤高速A,详细  数据  股吧,8.09,-0.86,9.76,9.95,1.8,0.11,3.32,4.71,铁路公路
44,95,430,张家界,详细  数据  股吧,5.77,-0.35,-,-,1.79,0.20,12.84,-79.45,旅游酒店
45,96,488,晨鸣纸业,详细  数据  股吧,5.49,-0.72,16.38,7.93,0.9,1.08,0.52,3.02,造纸印刷
46,97,498,山东路桥,详细  数据  股吧,10.22,2.51,7.21,7.47,1.48,0.11,0.26,-4.09,工程建设
47,98,501,武商集团,详细  数据  股吧,10.07,-2.52,11.71,10.29,0.71,0.37,1.11,5.94,商业百货
48,99,502,*ST绿景,详细  数据  股吧,3.8,0.0,-,-,4.58,3.16,3.29,-15.43,房地产服务
49,100,503,国新健康,详细  数据  股吧,8.56,-1.38,-,-,10.55,-,29.52,-63.41,软件开发
0,101,504,南华生物,详细  数据  股吧,13.2,-0.53,-,-,244.8,-,21.84,38.82,医疗服务
1,102,505,京粮控股,详细  数据  股吧,9.5,-5.09,33.71,33.78,2.34,3.08,0.55,42.15,农牧饲渔
2,103,506,中润资源,详细  数据  股吧,3.07,-1.29,14.29,-,4.42,0.68,3.31,60.81,贵金属
3,104,507,珠海港,详细  数据  股吧,5.96,-1.97,13.07,12.29,1.04,0.17,0.84,6.46,航运港口
4,105,509,*ST华塑,详细  数据  股吧,3.83,0.52,-,-,29.37,-,7.09,-80.95,医疗服务
5,106,510,新金路,详细  数据  股吧,6.4,4.4,14.79,13.02,2.8,0.04,1.23,13.99,化学原料
6,107,513,丽珠集团,详细  数据  股吧,31.87,-3.34,16.47,16.78,2.2,4.57,2.44,14.2,化学制药
7,108,514,渝开发,详细  数据  股吧,5.73,-9.05,28.23,29.82,1.38,0.69,4.07,32.46,房地产开发
8,109,516,国际医学,详细  数据  股吧,8.66,2.0,-,-,3.98,0.00,7.6,107.29,医疗服务
9,110,517,荣安地产,详细  数据  股吧,3.87,-5.61,8.68,11.34,1.28,-,0.66,2.59,房地产开发
10,111,518,四环生物,详细  数据  股吧,3.19,-2.74,-,-,5.64,0.16,9.94,347.17,生物制品
11,112,519,中兵红箭,详细  数据  股吧,21.27,0.81,44.20,61.03,3.18,0.65,3.93,25.57,专用设备
12,113,520,长航凤凰,详细  数据  股吧,3.23,-0.92,32.55,33.99,6.18,0.02,3.44,25.42,航运港口
13,114,521,长虹美菱,详细  数据  股吧,3.46,-1.42,68.86,68.66,0.74,0.83,0.2,54.87,家电行业
14,115,523,*ST浪奇,详细  数据  股吧,3.61,2.85,3.94,4.00,5.67,-,2.22,78.31,美容护理
15,116,524,岭南控股,详细  数据  股吧,9.66,0.52,-,-,3.02,-,4.54,-63.32,旅游酒店
16,117,525,ST红太阳,详细  数据  股吧,11.85,3.58,-,-,8.12,0.00,1.29,16.07,农药兽药
17,118,526,学大教育,详细  数据  股吧,14.5,-2.03,-,-,4.0,-,0.73,-6.07,教育
18,119,528,柳工,详细  数据  股吧,6.25,-1.26,16.03,12.28,0.78,-,0.46,260.14,工程机械
19,120,529,广弘控股,详细  数据  股吧,6.6,0.46,11.52,11.64,1.63,1.08,1.01,12.48,食品饮料
20,121,530,冰山冷热,详细  数据  股吧,3.74,-1.58,-,-,1.05,0.00,1.45,-25.67,通用设备
21,122,531,穗恒运A,详细  数据  股吧,8.58,0.59,-,36.63,1.16,4.75,1.53,-13.43,电力行业
22,123,532,华金资本,详细  数据  股吧,10.91,-4.63,18.68,19.49,3.18,0.61,5.71,25.11,综合行业
23,124,533,顺钠股份,详细  数据  股吧,3.18,-0.93,-,-,3.2,-,1.48,43.64,电网设备
24,125,534,万泽股份,详细  数据  股吧,11.27,1.08,67.27,59.22,5.09,2.69,8.63,1387.22,生物制品
25,126,536,华映科技,详细  数据  股吧,1.82,-0.55,-,-,0.98,-,1.64,10.13,光学光电子
26,127,537,广宇发展,详细  数据  股吧,11.27,1.35,-,-,1.3,0.03,1.8,-1.88,房地产开发
27,128,538,云南白药,详细  数据  股吧,58.3,-6.3,35.44,37.35,2.67,-,2.95,20.21,中药
28,129,539,粤电力A,详细  数据  股吧,4.25,-3.63,-,-,0.99,0.00,0.48,-16.07,电力行业
29,130,540,中天金融,详细  数据  股吧,1.78,-2.73,-,-,1.14,0.00,1.06,1.68,房地产开发
30,131,541,佛山照明,详细  数据  股吧,4.77,0.21,24.82,25.98,1.23,-,1.25,-12.46,家电行业
31,132,543,皖能电力,详细  数据  股吧,3.98,-1.24,-,-,0.73,0.01,0.39,-12.56,电力行业
32,133,544,中原环保,详细  数据  股吧,5.84,-2.34,11.67,11.19,0.86,4.67,0.93,-1.55,公用事业
33,134,545,金浦钛业,详细  数据  股吧,3.8,-1.3,35.30,34.94,1.92,-,1.35,23.85,化学原料
34,135,546,金圆股份,详细  数据  股吧,11.97,4.36,102.68,108.30,1.85,-,1.14,242.78,水泥建材
35,136,547,航天发展,详细  数据  股吧,9.49,0.42,25.33,23.62,1.66,-,3.62,-44.05,通信设备
36,137,548,湖南投资,详细  数据  股吧,7.0,10.06,81.43,67.35,1.9,-,8.37,-35.27,铁路公路
37,138,550,江铃汽车,详细  数据  股吧,15.16,4.19,26.67,22.79,1.5,7.30,0.38,12.1,汽车整车
38,139,551,创元科技,详细  数据  股吧,7.9,-1.37,28.24,29.31,1.55,-,0.85,15.08,环保行业
39,140,552,靖远煤电,详细  数据  股吧,4.07,-1.93,9.50,13.26,1.11,0.11,1.91,3.49,煤炭行业
40,141,553,安道麦A,详细  数据  股吧,11.27,-4.09,60.19,166.82,1.23,-,0.8,7.32,农药兽药
41,142,554,泰山石油,详细  数据  股吧,4.94,0.61,244.79,288.52,2.56,23.80,0.81,-19.82,石油行业
42,143,555,神州信息,详细  数据  股吧,10.9,-0.27,29.12,28.50,1.8,-,0.95,36.13,互联网服务
43,144,557,西部创业,详细  数据  股吧,3.97,-0.5,24.38,25.66,1.06,0.78,4.03,33.42,物流行业
44,145,558,莱茵体育,详细  数据  股吧,2.73,-1.8,-,-,3.16,1.54,27.38,71.16,房地产开发
45,146,559,万向钱潮,详细  数据  股吧,5.52,0.36,23.32,26.57,2.08,0.39,1.22,14.38,汽车零部件
46,147,560,我爱我家,详细  数据  股吧,2.9,-0.68,-,41.16,0.66,1.94,0.55,1.53,房地产服务
47,148,561,烽火电子,详细  数据  股吧,6.43,0.16,42.96,35.11,2.33,3.14,2.63,-27.97,通信设备
48,149,563,陕国投A,详细  数据  股吧,2.96,-1.0,15.96,16.02,0.95,2.35,6.22,-4.51,多元金融
49,150,564,*ST大集,详细  数据  股吧,1.05,0.0,-,-,1.64,-,13.06,-108.05,商业百货
0,151,565,渝三峡A,详细  数据  股吧,5.81,-0.34,25.87,35.35,1.92,1.08,5.18,-76.57,化学制品
1,152,566,海南海药,详细  数据  股吧,4.31,-2.27,-,-,2.62,0.02,2.7,51.75,化学制药
2,153,567,海德股份,详细  数据  股吧,17.83,0.28,24.71,29.82,2.35,0.08,14.41,-8.05,多元金融
3,154,568,泸州老窖,详细  数据  股吧,202.88,0.46,34.46,37.53,9.64,1.00,13.6,39.7,酿酒行业
4,155,570,苏常柴A,详细  数据  股吧,4.17,-0.24,62.15,28.57,0.99,0.75,1.25,-22.81,汽车零部件
5,156,571,ST大洲,详细  数据  股吧,1.95,-0.51,-,-,3.56,-,1.12,3.09,煤炭行业
6,157,572,海马汽车,详细  数据  股吧,4.9,2.08,70.92,72.16,2.23,-,3.68,202.04,汽车整车
7,158,573,粤宏远A,详细  数据  股吧,3.33,-0.89,30.31,15.12,1.27,0.02,2.01,92.42,房地产开发
8,159,576,甘化科工,详细  数据  股吧,11.13,-0.98,383.34,154.72,2.99,-,10.11,38.86,综合行业
9,160,581,威孚高科,详细  数据  股吧,20.59,0.83,8.48,8.06,1.03,-,1.56,347.62,汽车零部件
10,161,582,北部湾港,详细  数据  股吧,7.71,-3.14,13.33,13.36,1.25,-,2.27,7.98,航运港口
11,162,584,哈工智能,详细  数据  股吧,4.46,3.0,-,-,1.9,0.00,2.4,-331.53,专用设备
12,163,585,东电退,详细  数据  股吧,0.35,-2.78,359.80,17.34,-1.6,21.36,3.76,39.07,电网设备
13,164,586,汇源通信,详细  数据  股吧,7.59,1.88,55.77,56.16,4.91,11.24,3.35,312.32,通信设备
14,165,587,*ST金洲,详细  数据  股吧,1.26,-0.79,-,-,-12.25,-,30.12,-86.67,珠宝首饰
15,166,589,贵州轮胎,详细  数据  股吧,4.04,0.25,14.33,12.54,0.77,-,0.62,29.43,橡胶制品
16,167,590,启迪药业,详细  数据  股吧,7.98,-1.12,69.54,53.92,2.76,1.49,6.04,-114.64,中药
17,168,591,太阳能,详细  数据  股吧,7.18,1.41,18.63,18.28,1.42,1.31,3.16,10.34,电力行业
18,169,592,平潭发展,详细  数据  股吧,2.3,-1.71,-,-,1.71,0.08,2.8,68.67,农牧饲渔
19,170,593,德龙汇能,详细  数据  股吧,5.35,0.19,36.62,38.00,1.82,0.89,1.27,9.19,燃气
20,171,595,宝塔实业,详细  数据  股吧,3.19,1.27,-,-,4.9,-,19.81,-76.42,通用设备
21,172,596,古井贡酒,详细  数据  股吧,208.07,0.46,42.59,47.86,6.24,1.77,7.63,11.7,酿酒行业
22,173,597,东北制药,详细  数据  股吧,5.4,-3.57,56.56,73.50,1.73,0.03,0.86,7.08,化学制药
23,174,598,兴蓉环境,详细  数据  股吧,5.12,-0.39,9.86,10.23,1.11,0.65,2.2,5.84,公用事业
24,175,599,青岛双星,详细  数据  股吧,3.46,-0.57,-,-,1.0,0.00,0.78,-146.01,橡胶制品
25,176,600,建投能源,详细  数据  股吧,4.2,-0.24,-,-,0.78,0.00,0.47,-5.34,电力行业
26,177,601,韶能股份,详细  数据  股吧,4.5,-0.44,190.89,175.73,1.03,-,1.33,15.56,电力行业
27,178,603,盛达资源,详细  数据  股吧,10.91,1.3,16.75,17.85,2.84,0.31,4.44,9.22,有色金属
28,179,605,渤海股份,详细  数据  股吧,5.87,0.0,229.19,180.94,0.98,-,1.14,8.55,公用事业
29,180,606,*ST顺利,详细  数据  股吧,1.33,0.76,-,-,-3.79,-,8.53,-9.62,互联网服务
30,181,607,华媒控股,详细  数据  股吧,4.17,-1.18,38.16,36.18,2.86,-,2.18,12.27,文化传媒
31,182,608,阳光股份,详细  数据  股吧,3.19,-0.31,35.35,37.22,0.77,-,4.09,10.09,房地产开发
32,183,609,中迪投资,详细  数据  股吧,5.39,10.0,-,-,1.96,0.17,2.01,7.18,房地产开发
33,184,610,西安旅游,详细  数据  股吧,8.17,-0.73,-,-,2.47,0.08,3.42,-17.62,旅游酒店
34,185,611,*ST天首,详细  数据  股吧,3.47,0.0,-,-,3.36,-,6.93,-84.73,化肥行业
35,186,612,焦作万方,详细  数据  股吧,5.45,-0.18,16.60,16.38,1.23,-,1.29,-40.07,有色金属
36,187,613,*ST东海A,详细  数据  股吧,2.13,0.0,-,-,10.96,-,25.01,64.23,旅游酒店
37,188,615,奥园美谷,详细  数据  股吧,8.09,-3.69,-,-,4.55,-,5.08,-109.23,美容护理
38,189,616,ST海投,详细  数据  股吧,1.5,-0.66,56.92,47.53,0.47,-,53.42,-43.37,房地产开发
39,190,617,中油资本,详细  数据  股吧,4.7,-0.42,10.74,10.71,0.63,-,1.89,1.03,多元金融
40,191,619,海螺新材,详细  数据  股吧,6.16,-0.96,-,-,0.98,0.01,0.45,-6.16,装修建材
41,192,620,新华联,详细  数据  股吧,2.87,-3.04,-,-,2.46,0.00,0.63,2.09,房地产开发
42,193,622,恒立实业,详细  数据  股吧,4.0,-0.5,-,951.86,8.32,-,5.03,21.03,汽车零部件
43,194,623,吉林敖东,详细  数据  股吧,14.28,-0.49,11.47,9.33,0.68,2.92,6.87,63.37,化学制药
44,195,625,长安汽车,详细  数据  股吧,13.51,4.81,14.25,29.03,1.69,1.65,0.96,6.25,汽车整车
