,序号,股票代码,股票简称,相关,最新价,涨跌幅(%),PE(TTM),PE(静),市净率,PEG值,市销率,市现率,所属行业
24,2075,300603,立昂技术,详细  数据  股吧,11.38,4.12,-,-,4.24,-,4.0,-179.79,通信服务
25,2076,300604,长川科技,详细  数据  股吧,37.05,3.78,91.42,102.60,12.08,0.48,12.76,-189.98,半导体
26,2077,300605,恒锋信息,详细  数据  股吧,12.33,-0.56,41.62,43.13,3.87,-,3.23,-23.18,软件开发
27,2078,300606,金太阳,详细  数据  股吧,16.7,-0.42,21.89,23.12,2.53,-,3.33,500.46,通用设备
28,2079,300607,拓斯达,详细  数据  股吧,10.3,-0.29,161.79,67.17,2.02,-,1.28,20.15,通用设备
29,2080,300608,思特奇,详细  数据  股吧,10.07,-1.37,45.97,34.11,2.44,-,2.29,27.95,软件开发
30,2081,300609,汇纳科技,详细  数据  股吧,16.5,-3.11,95.20,56.60,1.85,0.16,5.0,37.1,互联网服务
31,2082,300610,晨化股份,详细  数据  股吧,13.38,1.67,19.54,18.40,2.61,1.63,2.45,16.65,塑料制品
32,2083,300611,美力科技,详细  数据  股吧,8.88,1.6,136.40,71.95,2.22,-,1.79,62.89,汽车零部件
33,2084,300612,宣亚国际,详细  数据  股吧,18.53,-3.84,118.80,301.16,9.62,-,3.12,-48.28,文化传媒
34,2085,300613,富瀚微,详细  数据  股吧,122.33,1.2,34.14,40.42,7.96,0.09,7.28,69.68,半导体
35,2086,300614,百川畅银,详细  数据  股吧,24.7,-3.14,44.26,36.35,2.65,-,8.08,30.2,环保行业
36,2087,300615,欣天科技,详细  数据  股吧,9.79,-1.01,161.47,266.41,3.76,7.74,6.21,152.99,通信设备
37,2088,300616,尚品宅配,详细  数据  股吧,25.97,-1.29,-,57.52,1.48,35.33,0.74,6.2,装修建材
38,2089,300617,安靠智电,详细  数据  股吧,36.41,0.41,28.79,30.62,2.31,0.46,7.53,103.82,电网设备
39,2090,300618,寒锐钴业,详细  数据  股吧,54.38,2.74,22.85,25.39,3.44,0.23,3.45,-30.85,能源金属
40,2091,300619,金银河,详细  数据  股吧,68.0,2.73,190.53,200.71,7.61,1.38,4.7,167.36,专用设备
41,2092,300620,光库科技,详细  数据  股吧,25.77,-0.35,32.80,32.33,2.72,0.23,6.37,49.61,通信设备
42,2093,300621,维业股份,详细  数据  股吧,9.19,1.32,83.52,51.93,2.24,-,0.18,7.4,装修装饰
43,2094,300622,博士眼镜,详细  数据  股吧,23.68,5.43,50.86,43.08,6.11,1.56,4.51,20.72,商业百货
44,2095,300623,捷捷微电,详细  数据  股吧,20.13,2.29,29.83,29.83,4.83,0.38,8.32,42.03,半导体
45,2096,300624,万兴科技,详细  数据  股吧,29.63,-0.67,-,138.22,4.5,5.15,3.71,31.67,软件开发
46,2097,300625,三雄极光,详细  数据  股吧,11.82,-1.34,81.67,125.57,1.47,-,1.21,11.22,家电行业
47,2098,300626,华瑞股份,详细  数据  股吧,8.07,1.64,37.70,34.72,2.42,0.09,1.51,23.37,电机
48,2099,300627,华测导航,详细  数据  股吧,34.15,-0.03,41.65,44.09,5.73,0.76,6.56,53.92,通信设备
49,2100,300628,亿联网络,详细  数据  股吧,71.85,-0.54,37.51,40.12,9.51,1.31,16.28,56.32,通信设备
0,2101,300629,新劲刚,详细  数据  股吧,24.08,0.0,30.28,34.72,2.95,0.28,9.01,26.02,通用设备
1,2102,300630,普利制药,详细  数据  股吧,26.94,-0.85,25.75,28.26,4.58,14.11,7.34,70.07,化学制药
2,2103,300631,久吾高科,详细  数据  股吧,26.64,2.94,48.04,46.59,2.76,-,5.74,-835.59,环保行业
3,2104,300632,光莆股份,详细  数据  股吧,10.27,-0.77,41.04,39.02,1.57,-,3.04,37.46,光学光电子
4,2105,300633,开立医疗,详细  数据  股吧,25.51,0.43,41.82,44.34,4.55,0.02,7.15,30.8,医疗器械
5,2106,300634,彩讯股份,详细  数据  股吧,11.6,0.78,30.37,34.54,2.44,3.41,5.05,-617.08,互联网服务
6,2107,300635,中达安,详细  数据  股吧,20.4,1.29,84.93,83.21,4.13,6.54,4.51,29.29,工程咨询服务
7,2108,300636,同和药业,详细  数据  股吧,33.01,-8.08,78.86,85.37,7.52,4.68,10.91,33.59,化学制药
8,2109,300637,扬帆新材,详细  数据  股吧,6.84,-0.58,401.31,243.28,2.11,-,2.04,37.36,电子化学品
9,2110,300638,广和通,详细  数据  股吧,33.85,2.51,32.93,34.92,6.81,0.76,3.17,-28.62,通信设备
10,2111,300639,凯普生物,详细  数据  股吧,22.49,-2.17,8.38,11.60,2.67,0.05,2.77,12.35,医疗器械
11,2112,300640,德艺文创,详细  数据  股吧,5.55,-1.07,76.13,76.22,2.33,-,1.83,-157.39,家用轻工
12,2113,300641,正丹股份,详细  数据  股吧,5.11,-0.39,24.68,23.95,1.68,0.16,1.35,10.71,化学制品
13,2114,300642,透景生命,详细  数据  股吧,21.35,-2.78,24.41,21.72,2.51,0.87,5.14,18.94,医疗器械
14,2115,300643,万通智控,详细  数据  股吧,12.4,6.9,23.63,25.87,3.32,0.10,2.7,25.04,汽车零部件
15,2116,300644,南京聚隆,详细  数据  股吧,14.22,-0.84,50.12,48.62,2.03,-,0.91,958.88,塑料制品
16,2117,300645,正元智慧,详细  数据  股吧,19.59,0.31,45.89,46.26,3.08,0.26,2.77,686.24,互联网服务
17,2118,300647,超频三,详细  数据  股吧,8.92,-0.34,-,-,3.7,0.00,4.89,-40.46,消费电子
18,2119,300648,星云股份,详细  数据  股吧,29.08,2.9,177.57,56.51,4.22,5.44,5.28,-155.87,电池
19,2120,300649,杭州园林,详细  数据  股吧,28.07,-5.2,107.17,113.79,6.71,-,4.97,50.78,工程建设
20,2121,300650,太龙股份,详细  数据  股吧,9.85,-1.3,19.43,17.48,1.95,0.06,0.47,3.69,光学光电子
21,2122,300651,金陵体育,详细  数据  股吧,23.39,-2.5,119.15,115.65,4.27,-,5.32,47.73,家用轻工
22,2123,300652,雷迪克,详细  数据  股吧,18.19,-1.03,16.35,17.84,1.7,0.23,2.73,35.48,汽车零部件
23,2124,300653,正海生物,详细  数据  股吧,61.0,-0.23,40.76,43.43,8.71,0.85,17.61,37.84,医疗器械
24,2125,300654,世纪天鸿,详细  数据  股吧,7.98,-0.75,40.14,48.80,2.24,8.40,4.01,33.79,文化传媒
25,2126,300655,晶瑞电材,详细  数据  股吧,26.04,2.48,43.00,44.91,5.1,0.24,4.8,44.69,电子化学品
26,2127,300656,民德电子,详细  数据  股吧,34.3,1.3,58.24,58.92,4.2,1.21,8.18,82.4,电子元件
27,2128,300657,弘信电子,详细  数据  股吧,8.71,1.28,-,-,2.5,0.02,1.21,11.42,电子元件
28,2129,300658,延江股份,详细  数据  股吧,8.47,-0.47,111.28,114.46,1.9,0.60,1.51,103.66,美容护理
29,2130,300659,中孚信息,详细  数据  股吧,18.49,-0.11,-,35.84,2.69,21.68,3.42,-207.77,软件开发
30,2131,300660,江苏雷利,详细  数据  股吧,18.5,0.0,20.83,19.65,1.7,-,1.64,15.17,电机
31,2132,300661,圣邦股份,详细  数据  股吧,301.62,6.5,80.76,102.11,26.51,0.43,27.26,71.86,半导体
32,2133,300662,科锐国际,详细  数据  股吧,48.0,-1.07,35.47,37.41,4.46,0.95,1.22,71.5,文化传媒
33,2134,300663,科蓝软件,详细  数据  股吧,14.18,0.71,174.15,175.39,5.82,-,4.92,-78.99,软件开发
34,2135,300664,鹏鹞环保,详细  数据  股吧,5.34,-1.11,12.31,12.24,0.99,-,1.8,-34.96,环保行业
35,2136,300665,飞鹿股份,详细  数据  股吧,7.62,-0.52,139.76,104.74,2.62,-,2.13,49.91,化学制品
36,2137,300666,江丰电子,详细  数据  股吧,56.01,3.72,105.95,121.71,8.73,-,7.35,199.84,半导体
37,2138,300667,必创科技,详细  数据  股吧,14.79,0.89,37.76,39.29,2.37,0.67,3.51,24.79,仪器仪表
38,2139,300668,杰恩设计,详细  数据  股吧,17.46,-1.8,-,122.82,3.12,89.42,5.59,182.79,工程咨询服务
39,2140,300669,沪宁股份,详细  数据  股吧,13.39,-0.22,33.98,34.11,2.03,-,4.14,30.4,专用设备
40,2141,300670,大烨智能,详细  数据  股吧,6.64,-0.3,57.89,50.32,2.21,-,4.3,19.49,电网设备
41,2142,300671,富满微,详细  数据  股吧,61.41,2.35,29.54,29.15,5.45,0.10,9.65,39.26,半导体
42,2143,300672,国科微,详细  数据  股吧,67.15,2.21,45.46,41.73,8.03,0.12,5.06,-34.53,半导体
43,2144,300673,佩蒂股份,详细  数据  股吧,16.08,-0.5,62.51,67.89,2.43,-,3.15,-34.4,农牧饲渔
44,2145,300674,宇信科技,详细  数据  股吧,15.09,0.6,25.34,27.13,2.78,-,2.89,113.47,互联网服务
45,2146,300675,建科院,详细  数据  股吧,16.37,-2.44,65.43,53.95,4.69,25.43,4.95,76.26,工程咨询服务
46,2147,300676,华大基因,详细  数据  股吧,65.6,-0.55,21.43,18.58,2.92,-,4.09,16.26,医疗器械
47,2148,300677,英科医疗,详细  数据  股吧,28.17,-0.53,4.10,2.08,0.97,0.87,1.31,2.57,医疗器械
48,2149,300678,中科信息,详细  数据  股吧,15.12,-0.98,67.50,69.29,3.72,1.43,5.98,-518.21,互联网服务
49,2150,300679,电连技术,详细  数据  股吧,31.83,-0.59,37.54,36.08,3.45,0.95,4.21,23.8,消费电子
0,2151,300680,隆盛科技,详细  数据  股吧,20.19,3.96,38.67,41.74,4.39,0.46,4.01,87.0,汽车零部件
1,2152,300681,英搏尔,详细  数据  股吧,73.86,1.76,89.60,120.85,7.98,0.21,4.52,-29.55,汽车零部件
2,2153,300682,朗新科技,详细  数据  股吧,22.21,-0.05,27.43,27.51,3.67,1.24,4.77,-351.11,互联网服务
3,2154,300683,海特生物,详细  数据  股吧,34.19,-1.95,200.56,150.96,1.79,0.14,6.7,-234.45,生物制品
4,2155,300684,中石科技,详细  数据  股吧,12.3,0.57,27.47,26.23,2.06,-,2.8,27.26,消费电子
5,2156,300685,艾德生物,详细  数据  股吧,50.29,0.46,44.64,46.54,7.93,1.31,11.75,83.34,医疗器械
6,2157,300686,智动力,详细  数据  股吧,11.18,1.27,134.38,52.85,1.73,-,1.46,26.03,消费电子
7,2158,300687,赛意信息,详细  数据  股吧,21.59,3.4,37.79,38.31,3.9,1.22,4.21,39.75,互联网服务
8,2159,300688,创业黑马,详细  数据  股吧,14.95,-0.86,-,214.35,4.25,-,5.97,61.25,教育
9,2160,300689,澄天伟业,详细  数据  股吧,16.21,0.0,98.56,111.17,2.94,-,4.2,70.76,通信设备
10,2161,300690,双一科技,详细  数据  股吧,15.29,0.99,23.75,16.90,1.9,-,2.79,23.5,风电设备
11,2162,300691,联合光电,详细  数据  股吧,13.1,0.23,76.57,46.93,2.29,1.91,2.23,-42.75,光学光电子
12,2163,300692,中环环保,详细  数据  股吧,6.87,-1.29,13.53,14.42,1.44,0.48,2.37,14.21,环保行业
13,2164,300693,盛弘股份,详细  数据  股吧,23.65,4.83,45.31,42.79,5.58,6.69,4.5,60.98,电源设备
14,2165,300694,蠡湖股份,详细  数据  股吧,10.19,0.59,-,-,1.79,-,1.54,21.45,汽车零部件
15,2166,300695,兆丰股份,详细  数据  股吧,47.99,0.33,26.29,26.99,1.53,-,4.81,17.21,汽车零部件
16,2167,300696,爱乐达,详细  数据  股吧,47.63,1.13,42.44,45.63,6.57,0.44,17.05,72.51,航天航空
17,2168,300697,电工合金,详细  数据  股吧,9.4,0.32,31.37,29.42,3.27,-,1.42,-44.49,有色金属
18,2169,300698,万马科技,详细  数据  股吧,16.3,-2.34,468.62,538.02,5.92,5.46,4.46,91.12,通信设备
19,2170,300699,光威复材,详细  数据  股吧,53.98,1.47,37.44,36.90,6.43,2.00,10.87,22.98,化学制品
20,2171,300700,岱勒新材,详细  数据  股吧,19.32,-1.13,-,-,3.61,0.00,6.73,109.88,通用设备
21,2172,300701,森霸传感,详细  数据  股吧,12.73,-0.39,21.57,18.25,3.05,-,8.0,37.01,光学光电子
22,2173,300702,天宇股份,详细  数据  股吧,35.69,-4.44,79.64,60.68,3.26,-,4.9,-36.52,化学制药
23,2174,300703,创源股份,详细  数据  股吧,8.61,1.41,146.03,166.28,2.27,-,1.09,16.46,家用轻工
24,2175,300705,九典制药,详细  数据  股吧,22.97,-2.05,25.22,26.39,4.96,0.16,3.0,30.63,化学制药
25,2176,300706,阿石创,详细  数据  股吧,19.81,2.01,135.04,171.45,4.13,0.56,4.38,139.53,半导体
26,2177,300707,威唐工业,详细  数据  股吧,12.75,1.19,37.49,41.06,2.7,0.31,2.54,-727.91,汽车零部件
27,2178,300708,聚灿光电,详细  数据  股吧,11.46,0.61,33.49,35.26,3.77,0.04,3.06,28.44,光学光电子
28,2179,300709,精研科技,详细  数据  股吧,37.08,1.87,31.18,31.29,2.62,1.03,2.39,15.45,消费电子
29,2180,300710,万隆光电,详细  数据  股吧,37.45,-3.6,80.83,81.88,3.83,-,3.61,33.77,通信设备
30,2181,300711,广哈通信,详细  数据  股吧,10.55,-0.94,46.24,50.12,3.47,0.79,6.2,38.41,通信设备
31,2182,300712,永福股份,详细  数据  股吧,36.1,1.23,134.18,161.26,5.75,-,3.69,36.73,工程建设
32,2183,300713,英可瑞,详细  数据  股吧,12.64,-0.32,230.21,223.21,2.73,-,7.46,109.47,电源设备
33,2184,300715,凯伦股份,详细  数据  股吧,11.81,-0.51,172.48,63.20,1.64,-,1.84,-13.08,装修建材
34,2185,300716,国立科技,详细  数据  股吧,9.37,-1.37,-,-,5.12,-,0.86,8.74,塑料制品
35,2186,300717,华信新材,详细  数据  股吧,12.79,0.08,80.60,62.47,2.11,-,3.91,23.9,塑料制品
36,2187,300718,长盛轴承,详细  数据  股吧,12.48,1.22,25.74,23.92,2.67,4.08,3.62,103.42,工程机械
37,2188,300719,安达维尔,详细  数据  股吧,9.83,-0.81,-,239.51,2.49,196.87,5.44,31.57,航天航空
38,2189,300720,海川智能,详细  数据  股吧,10.25,-0.87,28.14,25.98,3.42,5.39,7.9,29.61,仪器仪表
39,2190,300721,怡达股份,详细  数据  股吧,33.1,-0.09,18.32,21.53,2.41,0.00,1.86,10.91,化学制品
40,2191,300722,新余国科,详细  数据  股吧,28.23,2.73,82.47,87.32,10.6,3.62,17.15,70.84,航天航空
41,2192,300723,一品红,详细  数据  股吧,28.74,-1.91,25.98,26.98,4.53,0.75,3.76,18.21,化学制药
42,2193,300724,捷佳伟创,详细  数据  股吧,65.51,2.17,29.28,31.80,3.52,0.74,4.36,16.41,专用设备
43,2194,300725,药石科技,详细  数据  股吧,83.11,-2.64,34.04,34.11,6.63,0.21,13.26,165.64,化学制药
44,2195,300726,宏达电子,详细  数据  股吧,58.35,1.57,29.28,29.45,5.95,0.41,11.72,54.04,电子元件
45,2196,300727,润禾材料,详细  数据  股吧,21.97,0.55,28.48,29.96,3.95,0.35,2.41,31.26,化学制品
46,2197,300729,乐歌股份,详细  数据  股吧,15.72,-3.85,20.32,18.79,1.84,-,1.17,14.25,家用轻工
47,2198,300730,科创信息,详细  数据  股吧,15.22,-1.87,60.32,63.10,5.06,2.79,4.56,-52.04,软件开发
48,2199,300731,科创新源,详细  数据  股吧,16.92,-0.7,-,-,3.67,-,3.95,62.48,橡胶制品
49,2200,300732,设研院,详细  数据  股吧,15.35,4.56,13.00,13.10,1.54,2.78,1.99,30.86,工程咨询服务
0,2201,300733,西菱动力,详细  数据  股吧,20.77,-0.19,116.93,178.39,2.65,1.18,4.32,620.48,汽车零部件
1,2202,300735,光弘科技,详细  数据  股吧,9.67,0.31,19.89,21.25,1.67,1.34,1.8,11.53,消费电子
2,2203,300736,百邦科技,详细  数据  股吧,8.87,-1.88,-,177.35,7.9,26.38,4.22,29.47,通信服务
3,2204,300737,科顺股份,详细  数据  股吧,10.78,-1.91,21.08,18.94,2.33,-,1.58,-59.57,装修建材
4,2205,300738,奥飞数据,详细  数据  股吧,17.78,0.79,43.07,46.93,4.55,-,5.69,16.95,互联网服务
5,2206,300739,明阳电路,详细  数据  股吧,14.31,-0.07,30.21,38.47,2.43,-,2.06,26.27,电子元件
6,2207,300740,水羊股份,详细  数据  股吧,11.87,-1.74,19.74,20.66,2.96,0.26,0.93,57.44,美容护理
7,2208,300741,华宝股份,详细  数据  股吧,21.98,-1.26,14.30,13.48,1.71,-,7.16,12.81,食品饮料
8,2209,300742,越博动力,详细  数据  股吧,28.7,3.16,-,-,20.13,-,6.68,105.19,汽车零部件
9,2210,300743,天地数码,详细  数据  股吧,10.67,-1.57,56.56,56.71,3.68,3.37,2.55,-48.87,非金属材料
10,2211,300745,欣锐科技,详细  数据  股吧,34.23,4.36,149.03,167.67,3.64,-,4.12,-25.58,汽车零部件
11,2212,300746,汉嘉设计,详细  数据  股吧,12.13,1.85,29.24,27.32,2.07,0.73,0.98,16.28,工程咨询服务
12,2213,300747,锐科激光,详细  数据  股吧,31.73,0.89,35.93,29.17,4.56,0.65,3.92,124.13,电子元件
13,2214,300748,金力永磁,详细  数据  股吧,29.12,3.7,47.25,53.76,3.8,0.54,5.08,-83.57,小金属
14,2215,300749,顶固集创,详细  数据  股吧,6.89,-2.68,-,-,2.02,-,1.09,-31.28,装修建材
15,2216,300750,宁德时代,详细  数据  股吧,422.56,3.82,63.67,61.82,11.56,0.22,6.16,25.24,电池
16,2217,300751,迈为股份,详细  数据  股吧,339.81,2.6,83.67,91.45,9.7,1.19,17.82,102.01,专用设备
17,2218,300752,隆利科技,详细  数据  股吧,17.47,7.11,-,-,3.38,0.13,2.01,35.36,光学光电子
18,2219,300753,爱朋医疗,详细  数据  股吧,15.16,-4.95,80.23,35.35,2.47,-,4.43,372.11,医疗器械
19,2220,300755,华致酒行,详细  数据  股吧,35.37,1.84,20.10,21.82,4.02,0.23,1.7,106.65,贸易行业
20,2221,300756,金马游乐,详细  数据  股吧,18.1,-1.31,-,86.45,1.67,-,4.02,-20.01,旅游酒店
21,2222,300757,罗博特科,详细  数据  股吧,34.24,1.51,-,-,4.42,0.20,3.66,-14.25,专用设备
22,2223,300758,七彩化学,详细  数据  股吧,9.71,-0.72,25.45,22.13,2.34,10.56,2.93,37.31,化学制品
23,2224,300759,康龙化成,详细  数据  股吧,111.85,0.16,53.37,53.48,8.88,1.10,11.02,44.93,医疗服务
24,2225,300760,迈瑞医疗,详细  数据  股吧,302.8,1.57,43.75,45.88,13.1,2.16,13.89,41.92,医疗器械
25,2226,300761,立华股份,详细  数据  股吧,30.9,-0.58,-,-,2.05,0.07,1.12,16.79,农牧饲渔
26,2227,300762,上海瀚讯,详细  数据  股吧,16.8,1.08,31.85,28.06,2.53,0.66,9.65,57.35,通信设备
27,2228,300763,锦浪科技,详细  数据  股吧,207.34,2.79,96.47,108.34,21.32,1.96,13.52,77.27,光伏设备
28,2229,300765,新诺威,详细  数据  股吧,13.3,-1.85,21.10,22.90,2.37,3.32,4.77,37.72,食品饮料
29,2230,300766,每日互动,详细  数据  股吧,11.36,-1.56,40.83,39.84,2.66,0.59,7.2,16.05,互联网服务
30,2231,300767,震安科技,详细  数据  股吧,57.44,0.17,128.36,132.80,9.46,-,15.54,-58.67,橡胶制品
31,2232,300768,迪普科技,详细  数据  股吧,21.11,0.52,29.41,29.30,2.79,2.60,8.63,26.44,软件开发
32,2233,300769,德方纳米,详细  数据  股吧,273.84,3.13,29.20,55.14,11.03,0.00,5.73,-21.64,化学制品
33,2234,300770,新媒股份,详细  数据  股吧,34.89,-1.16,11.69,11.86,2.5,0.63,5.48,7.79,文化传媒
34,2235,300771,智莱科技,详细  数据  股吧,19.3,-0.36,18.06,18.26,1.61,-,2.41,13.5,计算机设备
35,2236,300772,运达股份,详细  数据  股吧,17.05,3.4,17.93,18.88,3.24,0.07,0.53,4.71,风电设备
36,2237,300773,拉卡拉,详细  数据  股吧,18.82,-0.32,13.61,13.91,2.99,0.81,2.28,8.78,软件开发
37,2238,300774,倍杰特,详细  数据  股吧,19.82,0.92,43.90,46.45,5.49,2.81,10.68,195.44,环保行业
38,2239,300775,三角防务,详细  数据  股吧,38.7,-0.36,40.02,46.51,7.86,0.34,13.58,49.86,航天航空
39,2240,300776,帝尔激光,详细  数据  股吧,229.9,2.81,61.02,64.12,10.84,30.21,18.89,134.85,专用设备
40,2241,300777,中简科技,详细  数据  股吧,45.93,-6.87,77.66,100.31,5.9,-,39.48,117.53,化纤行业
41,2242,300778,新城市,详细  数据  股吧,21.11,-7.86,33.17,32.24,2.53,-,6.72,135.04,工程咨询服务
42,2243,300779,惠城环保,详细  数据  股吧,12.57,-1.02,649.65,106.94,1.9,-,4.68,-8.89,环保行业
43,2244,300780,德恩精工,详细  数据  股吧,14.41,-1.57,24.63,29.75,1.86,-,3.39,-16.45,通用设备
44,2245,300781,因赛集团,详细  数据  股吧,18.98,-2.47,35.41,35.54,3.03,0.11,3.34,53.55,文化传媒
45,2246,300782,卓胜微,详细  数据  股吧,195.02,3.51,30.95,30.47,8.03,0.28,13.61,57.59,半导体
46,2247,300783,三只松鼠,详细  数据  股吧,21.22,-0.93,33.04,20.70,3.49,1.06,0.93,17.0,食品饮料
47,2248,300785,值得买,详细  数据  股吧,45.57,6.17,30.67,22.53,2.29,2.07,2.85,117.38,互联网服务
48,2249,300786,国林科技,详细  数据  股吧,12.82,0.63,33.95,31.03,1.89,-,4.88,-461.7,环保行业
49,2250,300787,海能实业,详细  数据  股吧,24.07,0.59,17.15,19.83,2.61,0.16,1.7,33.15,消费电子
0,2251,300788,中信出版,详细  数据  股吧,18.48,-1.02,16.02,14.54,1.69,-,1.89,20.37,文化传媒
1,2252,300789,唐源电气,详细  数据  股吧,19.12,-2.3,24.69,23.98,1.96,8.00,4.46,37.76,软件开发
2,2253,300790,宇瞳光学,详细  数据  股吧,24.48,-0.81,24.12,22.66,3.24,0.30,2.68,23.93,光学光电子
3,2254,300791,仙乐健康,详细  数据  股吧,23.56,-0.88,22.45,18.31,1.8,-,1.86,9.21,食品饮料
4,2255,300792,壹网壹创,详细  数据  股吧,35.71,2.35,26.18,26.08,3.19,5.20,7.23,-155.08,文化传媒
5,2256,300793,佳禾智能,详细  数据  股吧,14.63,-0.27,56.68,94.29,2.17,-,1.86,-35.43,消费电子
6,2257,300795,米奥会展,详细  数据  股吧,18.99,-0.31,-,-,5.14,-,10.3,-299.49,文化传媒
7,2258,300796,贝斯美,详细  数据  股吧,19.49,-1.22,37.45,41.87,2.14,0.96,4.21,18.84,农药兽药
8,2259,300797,钢研纳克,详细  数据  股吧,12.33,-1.12,33.11,36.35,3.55,4.59,4.12,33.18,专业服务
9,2260,300798,锦鸡股份,详细  数据  股吧,6.84,-0.73,71.39,54.49,2.26,0.70,2.88,85.16,化学制品
10,2261,300799,左江科技,详细  数据  股吧,42.26,3.83,-,761.65,5.99,17.37,50.48,-61.2,软件开发
11,2262,300800,力合科技,详细  数据  股吧,14.76,-0.47,15.06,13.82,1.71,-,4.07,57.49,环保行业
12,2263,300801,泰和科技,详细  数据  股吧,21.07,-1.91,12.44,16.34,2.03,0.15,1.81,14.27,化学制品
13,2264,300802,矩子科技,详细  数据  股吧,24.18,0.5,39.89,38.99,3.61,3.27,6.38,83.33,专用设备
14,2265,300803,指南针,详细  数据  股吧,42.82,-7.03,50.05,98.42,11.18,0.50,14.14,24.94,软件开发
15,2266,300805,电声股份,详细  数据  股吧,7.43,-1.85,-,-,1.93,-,1.17,35.63,文化传媒
16,2267,300806,斯迪克,详细  数据  股吧,35.68,0.17,30.56,32.28,4.48,1.93,3.28,26.97,塑料制品
17,2268,300807,天迈科技,详细  数据  股吧,19.93,-0.55,-,-,2.31,0.02,5.43,-10.61,计算机设备
18,2269,300808,久量股份,详细  数据  股吧,10.56,-1.22,-,202.76,1.57,9.42,2.79,40.28,光学光电子
19,2270,300809,华辰装备,详细  数据  股吧,34.74,3.95,79.42,71.19,3.71,0.82,14.71,174.91,通用设备
20,2271,300810,中科海讯,详细  数据  股吧,17.58,0.34,153.37,181.29,2.03,-,10.15,-20.11,软件开发
21,2272,300811,铂科新材,详细  数据  股吧,73.19,0.6,57.26,63.09,7.39,4.18,9.57,-199.45,小金属
22,2273,300812,易天股份,详细  数据  股吧,14.66,0.14,33.59,29.17,2.43,1.75,3.78,-237.98,半导体
23,2274,300813,泰林生物,详细  数据  股吧,68.64,-5.71,52.57,56.15,6.98,1.54,11.63,78.81,专用设备
24,2275,300814,中富电路,详细  数据  股吧,16.4,-0.3,29.25,29.94,2.68,-,1.87,28.31,电子元件
25,2276,300815,玉禾田,详细  数据  股吧,20.32,-1.07,12.47,11.90,1.87,-,1.14,10.73,环保行业
26,2277,300816,艾可蓝,详细  数据  股吧,27.23,0.67,42.42,31.41,2.59,-,2.41,-49.42,汽车零部件
27,2278,300817,双飞股份,详细  数据  股吧,15.56,-0.32,20.66,18.81,1.93,0.61,2.17,15.87,通用设备
28,2279,300818,耐普矿机,详细  数据  股吧,33.64,-0.65,10.15,12.79,2.2,0.02,1.98,89.62,专用设备
29,2280,300819,聚杰微纤,详细  数据  股吧,21.01,-3.18,67.95,68.14,2.57,0.12,3.76,51.78,纺织服装
30,2281,300820,英杰电气,详细  数据  股吧,84.95,4.82,44.25,51.46,6.5,0.88,10.82,1651.99,电源设备
31,2282,300821,东岳硅材,详细  数据  股吧,14.22,2.16,13.45,14.83,3.18,0.04,3.44,29.59,化学制品
32,2283,300822,贝仕达克,详细  数据  股吧,15.21,0.46,23.46,19.10,1.98,-,2.23,31.41,消费电子
33,2284,300823,建科机械,详细  数据  股吧,19.1,-1.44,21.23,19.73,1.81,25.21,3.78,21.95,专用设备
34,2285,300824,北鼎股份,详细  数据  股吧,10.53,-2.77,35.67,31.67,4.67,4.09,4.02,59.75,家电行业
35,2286,300825,阿尔特,详细  数据  股吧,19.23,0.31,33.38,31.07,2.5,0.33,4.98,30.45,汽车服务
36,2287,300826,测绘股份,详细  数据  股吧,16.84,-4.21,24.00,23.02,1.79,1.84,2.44,15.52,工程咨询服务
37,2288,300827,上能电气,详细  数据  股吧,33.93,9.45,135.59,136.85,8.92,-,7.01,-93.7,光伏设备
38,2289,300828,锐新科技,详细  数据  股吧,22.19,-1.07,29.14,32.33,3.07,1.88,3.87,3837.56,有色金属
39,2290,300829,金丹科技,详细  数据  股吧,27.8,-2.52,33.94,37.84,3.44,2.98,3.36,116.06,食品饮料
40,2291,300830,金现代,详细  数据  股吧,7.08,-0.28,74.70,46.29,2.6,-,5.09,114.08,软件开发
41,2292,300831,派瑞股份,详细  数据  股吧,12.39,1.64,60.89,74.28,4.84,0.59,20.41,41.53,半导体
42,2293,300832,新产业,详细  数据  股吧,39.96,-2.25,28.22,32.28,5.3,7.14,11.41,37.65,医疗器械
43,2294,300833,浩洋股份,详细  数据  股吧,81.69,4.06,36.77,50.67,3.6,0.57,8.76,75.71,专用设备
44,2295,300834,星辉环材,详细  数据  股吧,27.84,-1.14,21.07,18.46,1.86,0.00,2.7,22.39,化学原料
45,2296,300835,龙磁科技,详细  数据  股吧,25.86,1.02,23.93,23.71,3.18,0.27,3.67,48.02,小金属
46,2297,300836,佰奥智能,详细  数据  股吧,27.69,-0.82,-,-,2.24,-,3.15,-31.77,专用设备
47,2298,300837,浙矿股份,详细  数据  股吧,38.8,2.67,23.13,24.62,3.47,0.72,6.31,41.77,专用设备
48,2299,300838,浙江力诺,详细  数据  股吧,14.62,-0.88,22.31,23.38,2.33,0.60,2.65,81.29,仪器仪表
49,2300,300839,博汇股份,详细  数据  股吧,16.91,1.26,41.85,54.20,2.62,-,1.32,1764.56,石油行业
0,2301,300840,酷特智能,详细  数据  股吧,10.16,-0.2,40.59,39.72,2.39,1.03,4.19,26.58,纺织服装
